,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling,Dwelling Grade,Household m2,Size Grade,Bedrooms,Years,Old,Heating Source,Area Code,Occupants,Children,Teenagers,Adults,Elders,Ainc,Adec,Agauge,Fulltimers,Parttimers,Grads,PostGrads,Education Index,Income,Recycling,Energy Class,Thermostats,Water Heater,Smart Plugs,Awareness,Start,End,Days,Kwhs,Kwh/day,Kwh/day/m2,HDD,CDD,HID
,Appartment,0,110,"0,6",3,0 - 5,0,Yes,56728,4,0,0,4,0,"3,6",3,4,2,2,3,2,"0,9444","20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,Yes,Sometimes,Often or Always,21/12/2021,18/02/2022,59,"5.455,00","92,45762712","0,8405238829","453,179",0,0
,Appartment,0,110,"0,6",3,0 - 5,0,Yes,56728,4,0,0,4,0,"3,6",3,4,2,2,3,2,"0,9444","20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,Yes,Sometimes,Often or Always,17/06/2021,14/08/2021,58,"2.657,00","45,81034483","0,4164576803",0,"463,442","365,438"
,Semidetached,"0,7",255,1,4,6 - 15,"0,33",No,55236,3,1,0,2,0,"2,3","2,5","2,5",2,0,2,1,"0,9722","20,001€ - 40,000€",Sometimes,Sometimes,Often or Always,No,Rarely,Often or Always,27/09/2021,26/01/2022,121,2267,"18,73553719","0,07347269486","570,387","3,408","2,21"
,Semidetached,"0,7",255,1,4,6 - 15,"0,33",No,55236,3,1,0,2,0,"2,3","2,5","2,5",2,0,2,1,"0,9722","20,001€ - 40,000€",Sometimes,Sometimes,Often or Always,No,Rarely,Often or Always,30/07/2021,26/09/2021,58,887,"15,29310345","0,0599729547","1,3","285,55","216,479"
,Family House,1,190,"0,8",5,16 - 30,"0,66",No,57200,2,0,0,1,1,"1,9","1,25","1,75",0,1,0,0,"0,8333","0 - 10,000€",Sometimes,Often or Always,Often or Always,No,Rarely,Often or Always,26/08/2021,28/12/2021,124,651,"5,25","0,02763157895","557,829","84,787","64,13"
,Family House,1,190,"0,8",5,16 - 30,"0,66",No,57200,2,0,0,1,1,"1,9","1,25","1,75",0,1,0,0,"0,8333","0 - 10,000€",Sometimes,Often or Always,Often or Always,No,Rarely,Often or Always,25/04/2021,26/08/2021,123,583,"4,739837398","0,02494651262","64,7","439,212","335,772"
,Appartment,0,87,"0,4",2,6 - 15,"0,33",No,55535,4,0,0,4,0,"3,6",3,4,4,0,4,2,"0,9722","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Often or Always,21/10/2021,20/02/2022,122,1464,12,"0,1379310345","722,244",0,0
,Appartment,0,87,"0,4",2,6 - 15,"0,33",No,55535,4,0,0,4,0,"3,6",3,4,4,0,4,2,"0,9722","20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Often or Always,22/06/2021,20/10/2021,120,1584,"13,2","0,1517241379","18,633","547,275","418,724"
,Appartment,0,65,"0,2",2,0 - 5,0,No,55133,3,0,0,3,0,"2,7","2,25",3,1,2,2,0,"0,9074","10,001€ - 20,000€",Sometimes,Often or Always,Rarely,No,Rarely,Often or Always,30/09/2021,17/10/2021,17,52,"3,058823529","0,04705882353","15,696","0,3","0,043"
,Appartment,0,110,"0,6",2,6 - 15,"0,33",Yes,54635,2,0,0,2,0,"1,8","1,5",2,2,0,1,1,"0,9167","40,000€ - 60,000€",Rarely,Often or Always,Often or Always,Yes,Sometimes,Rarely,10/12/2021,10/02/2022,62,960,"15,48387097","0,1407624633","501,894",0,0
,Appartment,0,110,"0,6",2,6 - 15,"0,33",Yes,54635,2,0,0,2,0,"1,8","1,5",2,2,0,1,1,"0,9167","40,000€ - 60,000€",Rarely,Often or Always,Often or Always,Yes,Sometimes,Rarely,10/07/2021,10/09/2021,62,1200,"19,35","0,18","0,00","358,74","426,55"
,Appartment,0,100,"0,4",2,6 - 15,"0,33",Yes,54634,4,1,1,2,0,"3,05","3,4","3,25",1,1,0,0,"0,8333","άνω των 60,0001€",Often or Always,Often or Always,Often or Always,No,Sometimes,Rarely,05/01/2021,05/05/2021,120,4800,40,"0,4","643,988","2,221","1,252"
,Appartment,0,56,0,2,16 - 30,"0,66",No,54639,2,0,0,2,0,"1,8","1,5",2,0,0,1,0,"0,8889","0 - 10,000€",Often or Always,Sometimes,Rarely,No,Sometimes,Rarely,04/11/2021,02/03/2022,118,597,"5,059322034","0,09034503632","757,375",0,0
,Appartment,0,56,0,2,16 - 30,"0,66",No,54639,2,0,0,2,0,"1,8","1,5",2,0,0,1,0,"0,8889","0 - 10,000€",Often or Always,Sometimes,Rarely,No,Sometimes,Rarely,02/07/2021,03/11/2021,124,342,"2,758064516","0,04925115207","40,079","441,429","486,926"
,Semidetached,"0,7",100,"0,4",2,6 - 15,"0,33",Yes,54634,3,0,0,3,0,"2,7","2,25",3,2,0,0,0,"0,8333","20,001€ - 40,000€",Often or Always,Sometimes,Sometimes,Yes,Rarely,Rarely,01/01/2022,31/01/2022,30,350,"11,67","0,12","269,00","0,00","0,00"
